task_id,name,n_samples,n_features,n_classes,n_categorical,has_missing,regime
363621,blood-transfusion-service-center,748,4,2,0,False,small
363629,diabetes,768,8,2,0,False,small
363614,anneal,898,38,5,32,False,small
363626,credit-g,1000,20,2,13,False,small
363685,maternal_health_risk,1014,6,3,0,False,small
363696,qsar-biodeg,1054,41,2,5,False,small
363707,website_phishing,1353,9,3,9,False,small
363671,Fitness_Club,1500,6,2,3,True,small
363711,MIC,1699,111,8,94,True,small
363682,Is-this-a-good-customer,1723,13,2,8,False,small
363684,Marketing_Campaign,2240,25,2,8,True,medium
363674,hazelnut-spread-contaminant-detection,2400,30,2,0,False,medium
363700,seismic-bumps,2584,15,2,3,False,medium
363702,splice,3190,60,3,60,False,medium
363620,Bioresponse,3751,1776,2,0,False,medium
363677,hiva_agnostic,3845,1617,3,1617,False,medium
363704,students_dropout_and_academic_success,4424,36,3,17,False,medium
363623,churn,5000,19,2,4,False,medium
363694,polish_companies_bankruptcy,5910,64,2,0,True,medium
363706,taiwanese_bankruptcy_prediction,6819,94,2,0,False,medium
363619,Bank_Customer_Churn,10000,10,2,4,False,large
363676,heloc,10459,23,2,0,False,large
363712,jm1,10885,21,2,0,True,large
363632,E-CommereShippingData,10999,10,2,4,False,large
363691,online_shoppers_intention,12330,17,2,6,False,large
363681,in_vehicle_coupon_recommendation,12684,24,2,21,False,large
363679,HR_Analytics_Job_Change_of_Data_Scientists,19158,12,2,9,True,large
363627,credit_card_clients_default,30000,23,2,3,False,large
363613,Amazon_employee_access,32769,9,2,9,False,large
363699,SDSS17,78053,11,3,2,False,large
