task_id,dataset_id,name,task_type,n_samples,n_features,n_classes,n_numeric,n_symbolic,n_missing,regime
363612,46904,airfoil_self_noise,Supervised Regression,1503,6,0,5,1,0,medium
363613,46905,Amazon_employee_access,Supervised Classification,32769,10,2,0,10,0,large
363614,46906,anneal,Supervised Classification,898,39,5,6,33,0,small
363615,46907,Another-Dataset-on-used-Fiat-500,Supervised Regression,1538,8,0,7,1,0,medium
363616,46908,APSFailure,Supervised Classification,76000,171,2,170,1,75244,large
363618,46910,bank-marketing,Supervised Classification,45211,14,2,5,8,0,large
363619,46911,Bank_Customer_Churn,Supervised Classification,10000,11,2,6,5,0,large
363620,46912,Bioresponse,Supervised Classification,3751,1777,2,1776,1,0,medium
363621,46913,blood-transfusion-service-center,Supervised Classification,748,5,2,4,1,0,small
363623,46915,churn,Supervised Classification,5000,20,2,15,5,0,medium
363624,46916,coil2000_insurance_policies,Supervised Classification,9822,86,2,80,4,0,medium
363625,46917,concrete_compressive_strength,Supervised Regression,1030,9,0,9,0,0,medium
363626,46918,credit-g,Supervised Classification,1000,21,2,7,14,0,medium
363627,46919,credit_card_clients_default,Supervised Classification,30000,24,2,20,4,0,large
363628,46920,customer_satisfaction_in_airline,Supervised Classification,129880,22,2,5,17,393,large
363629,46921,diabetes,Supervised Classification,768,9,2,8,1,0,small
363630,46922,Diabetes130US,Supervised Classification,71518,48,2,8,40,70601,large
363631,46923,diamonds,Supervised Regression,53940,10,0,7,3,0,large
363632,46924,E-CommereShippingData,Supervised Classification,10999,11,2,6,5,0,large
363671,46927,Fitness_Club,Supervised Classification,1500,7,2,3,4,20,medium
363672,46928,Food_Delivery_Time,Supervised Regression,45451,10,0,7,3,0,large
363673,46929,GiveMeSomeCredit,Supervised Classification,150000,11,2,10,1,29731,large
363674,46930,hazelnut-spread-contaminant-detection,Supervised Classification,2400,31,2,30,1,0,medium
363675,46931,healthcare_insurance_expenses,Supervised Regression,1338,7,0,4,3,0,medium
363676,46932,heloc,Supervised Classification,10459,24,2,23,1,0,large
363677,46933,hiva_agnostic,Supervised Classification,3845,1618,3,0,1618,0,medium
363678,46934,houses,Supervised Regression,20640,9,0,9,0,0,large
363679,46935,HR_Analytics_Job_Change_of_Data_Scientists,Supervised Classification,19158,13,2,2,10,65,large
363681,46937,in_vehicle_coupon_recommendation,Supervised Classification,12684,25,2,2,22,0,large
363682,46938,Is-this-a-good-customer,Supervised Classification,1723,14,2,5,9,0,medium
363683,46939,kddcup09_appetency,Supervised Classification,50000,213,2,174,39,50000,large
363684,46940,Marketing_Campaign,Supervised Classification,2240,26,2,16,9,24,medium
363685,46941,maternal_health_risk,Supervised Classification,1014,7,3,6,1,0,medium
363686,46942,miami_housing,Supervised Regression,13776,16,0,15,1,0,large
363689,46969,NATICUSdroid,Supervised Classification,7491,87,2,0,87,0,medium
363691,46947,online_shoppers_intention,Supervised Classification,12330,18,2,10,8,0,large
363693,46949,physiochemical_protein,Supervised Regression,45730,10,0,10,0,0,large
363694,46950,polish_companies_bankruptcy,Supervised Classification,5910,65,2,64,1,2879,medium
363696,46952,qsar-biodeg,Supervised Classification,1054,42,2,36,6,0,medium
363697,46953,QSAR-TID-11,Supervised Regression,5742,1025,0,1025,0,0,medium
363698,46954,QSAR_fish_toxicity,Supervised Regression,907,7,0,7,0,0,small
363699,46955,SDSS17,Supervised Classification,78053,12,3,9,3,0,large
363700,46956,seismic-bumps,Supervised Classification,2584,16,2,11,4,0,medium
363702,46958,splice,Supervised Classification,3190,61,3,0,61,0,medium
363704,46960,students_dropout_and_academic_success,Supervised Classification,4424,37,3,19,18,0,medium
363705,46961,superconductivity,Supervised Regression,21263,82,0,82,0,0,large
363706,46962,taiwanese_bankruptcy_prediction,Supervised Classification,6819,95,2,94,1,0,medium
363707,46963,website_phishing,Supervised Classification,1353,10,3,0,10,0,medium
363708,46964,wine_quality,Supervised Regression,6497,13,0,12,1,0,medium
363711,46980,MIC,Supervised Classification,1699,112,8,17,95,1699,medium
363712,46979,jm1,Supervised Classification,10885,22,2,21,1,5,large
